Customer ID,Monetary,Frequency,Recency,Tenure,is_churned,Country_Belgium,Country_France,Country_Germany,Country_Netherlands,Country_Other,Country_Portugal,Country_Spain,Country_Sweden,Country_Switzerland,Country_United Kingdom
12346,77556.46,12,235,635,1,False,False,False,False,False,False,False,False,False,True
12347,3402.39,6,39,313,0,False,False,False,False,True,False,False,False,False,False
12348,1709.3999999999999,4,158,347,0,False,False,False,False,True,False,False,False,False,False
12349,2671.14,3,317,498,0,False,False,False,False,True,False,False,False,False,False
12350,334.40000000000003,1,219,219,1,False,False,False,False,True,False,False,False,False,False
12351,300.93,1,284,284,1,False,False,False,False,True,False,False,False,False,False
12352,1905.6100000000001,7,171,302,0,False,False,False,False,True,False,False,False,False,False
12353,406.76,2,113,318,1,False,False,False,False,True,False,False,False,False,False
12354,1079.4,1,141,141,1,False,False,False,False,False,False,True,False,False,False
12355,947.61,2,123,477,1,False,False,False,False,True,False,False,False,False,False
12356,6313.38,5,155,334,0,False,False,False,False,False,True,False,False,False,False
12357,12079.99,2,297,298,0,False,False,False,False,False,False,False,False,True,False
12358,3203.8700000000003,4,60,641,0,False,False,False,False,True,False,False,False,False,False
12359,6059.09,9,99,643,0,False,False,False,False,True,False,False,False,False,False
12360,3209.11,7,22,565,0,False,False,False,False,True,False,False,False,False,False
12361,511.25,4,196,591,1,True,False,False,False,False,False,False,False,False,False
12362,1877.3500000000001,5,29,648,0,True,False,False,False,False,False,False,False,False,False
12363,552.0,2,19,151,1,False,False,False,False,True,False,False,False,False,False
12364,623.92,1,21,21,0,True,False,False,False,False,False,False,False,False,False
12365,641.38,2,200,200,1,False,False,False,False,True,False,False,False,False,False
12366,500.24,1,543,543,1,False,False,False,False,True,False,False,False,False,False
12368,917.7,1,537,537,1,False,False,False,False,True,False,False,False,False,False
12369,1791.15,3,322,551,1,False,False,False,False,True,False,False,False,False,False
12370,3577.28,6,184,578,0,False,False,False,False,True,False,False,False,False,False
12371,2179.42,3,318,554,0,False,False,False,False,False,False,False,False,True,False
12372,914.9200000000001,2,122,206,0,False,False,False,False,True,False,False,False,False,False
12373,1127.65,3,220,583,1,False,False,False,False,True,False,False,False,False,False
12374,2246.29,3,330,497,0,False,False,False,False,True,False,False,False,False,False
12375,230.3,1,7,7,0,False,False,False,False,True,False,False,False,False,False
12376,503.15,2,299,327,1,False,False,False,False,False,False,False,False,True,False
12377,3426.32,4,224,498,1,False,False,False,False,False,False,False,False,True,False
12378,5416.32,2,39,471,1,False,False,False,False,False,False,False,False,True,False
12379,1227.82,3,79,444,0,True,False,False,False,False,False,False,False,False,False
12380,7559.04,8,95,572,0,True,False,False,False,False,False,False,False,False,False
12381,1268.74,1,29,29,0,False,False,False,False,True,False,False,False,False,False
12383,1850.56,5,94,261,1,True,False,False,False,False,False,False,False,False,False
12384,292.69,1,31,31,0,False,False,False,False,False,False,False,False,True,False
12385,1938.4,1,288,288,1,True,False,False,False,False,False,False,False,False,False
12386,401.9,2,247,276,1,False,False,False,False,False,False,False,False,False,False
12387,143.94,1,324,324,1,False,False,False,False,False,False,False,False,False,False
12388,2788.79,6,57,491,0,False,False,False,False,False,False,False,False,False,False
12389,1433.33,3,312,565,1,False,False,False,False,False,False,False,False,False,False
12391,2285.18,5,374,572,0,False,False,False,False,True,False,False,False,False,False
12392,234.75000000000003,1,500,500,1,False,False,False,False,False,False,False,False,False,False
12393,1877.95,5,155,337,0,False,False,False,False,False,False,False,False,False,False
12394,381.08,1,126,126,0,True,False,False,False,False,False,False,False,False,False
12395,3602.11,11,21,512,0,True,False,False,False,False,False,False,False,False,False
12396,931.4300000000001,1,583,583,1,False,False,False,False,True,False,False,False,False,False
12397,1214.81,1,44,44,0,True,False,False,False,False,False,False,False,False,False
12399,1962.3,7,28,554,1,True,False,False,False,False,False,False,False,False,False
12400,205.25,1,323,323,1,False,False,False,False,False,False,False,False,False,False
12401,84.3,1,212,212,1,True,False,False,False,False,False,False,False,False,False
12402,1256.9,6,232,580,1,True,False,False,False,False,False,False,False,False,False
12403,591.6600000000001,1,431,431,0,False,False,False,False,True,False,False,False,False,False
12404,63.24,1,591,591,1,False,False,False,False,True,False,False,False,False,False
12405,1710.39,1,58,58,1,False,False,False,False,True,False,False,False,False,False
12406,4596.31,4,93,606,0,False,False,False,False,True,False,False,False,False,False
12407,1407.36,4,43,173,0,True,False,False,False,False,False,False,False,False,False
12408,3586.27,7,8,407,0,True,False,False,False,False,False,False,False,False,False
12409,18553.7,5,92,474,0,False,False,False,False,False,False,False,False,True,False
12410,1013.71,3,218,411,1,False,False,False,False,False,False,False,False,True,False
12411,346.9,1,319,319,1,False,False,False,False,False,False,False,False,False,False
12412,2260.79,5,47,448,0,False,False,False,False,True,False,False,False,False,False
12413,805.25,3,145,311,0,False,True,False,False,False,False,False,False,False,False
12414,952.4100000000001,6,126,373,1,False,False,False,False,True,False,False,False,False,False
12415,121631.72,22,8,437,0,False,False,False,False,False,False,False,False,False,False
12416,202.56,1,566,566,1,False,False,False,False,False,False,False,False,False,False
12417,5964.83,18,16,643,0,True,False,False,False,False,False,False,False,False,False
12418,2021.2,4,22,539,1,False,False,False,False,False,False,False,False,True,False
12419,503.01,2,295,323,1,False,False,False,False,False,False,True,False,False,False
12421,920.12,5,24,414,0,False,False,False,False,False,False,True,False,False,False
12422,5231.8,17,5,631,1,False,False,False,False,False,False,False,False,True,False
12423,2413.75,9,10,375,0,True,False,False,False,False,False,False,False,False,False
12424,3340.0299999999997,4,72,457,1,False,False,False,False,False,False,False,False,False,False
12425,964.21,1,357,357,0,False,False,False,False,False,True,False,False,False,False
12426,1345.21,2,104,572,1,False,False,True,False,False,False,False,False,False,False
12427,303.5,1,281,281,0,False,False,True,False,False,False,False,False,False,False
12428,7548.12,8,29,193,0,False,False,False,False,True,False,False,False,False,False
12429,5298.89,7,82,455,0,False,False,False,False,True,False,False,False,False,False
12431,8819.34,23,28,603,0,False,False,False,False,False,False,False,False,False,False
12432,4016.66,3,79,81,0,False,False,False,False,True,False,False,False,False,False
12433,9813.5,6,0,386,0,False,False,False,False,True,False,False,False,False,False
12434,583.54,2,169,290,0,False,False,False,False,False,False,False,False,False,False
12435,10075.03,5,177,646,0,False,False,False,False,True,False,False,False,False,False
12436,509.01,1,9,9,1,False,False,False,False,True,False,False,False,False,False
12437,10543.4,32,7,646,0,False,True,False,False,False,False,False,False,False,False
12438,890.0699999999999,1,49,49,0,False,False,False,False,True,False,False,False,False,False
12439,1142.88,2,592,635,1,False,False,False,False,True,False,False,False,False,False
12440,859.2,2,371,627,1,False,False,False,False,True,False,False,False,False,False
12441,173.55,1,276,276,1,False,True,False,False,False,False,False,False,False,False
12443,485.31,1,641,641,1,False,False,False,False,True,False,False,False,False,False
12444,2627.27,2,31,80,0,False,False,False,False,True,False,False,False,False,False
12445,301.58000000000004,1,330,330,0,False,False,False,False,False,False,True,False,False,False
12447,476.49,1,152,152,1,True,False,False,False,False,False,False,False,False,False
12449,3493.18,5,1,348,0,True,False,False,False,False,False,False,False,False,False
12450,688.2,5,65,383,1,False,False,False,False,False,False,True,False,False,False
12451,8942.18,5,127,438,0,False,False,False,False,False,False,False,False,True,False
12453,707.09,1,43,43,1,False,False,False,False,True,False,False,False,False,False
12454,13151.44,4,305,330,0,False,False,False,False,False,False,True,False,False,False
12455,5589.45,9,37,631,0,False,False,False,False,True,False,False,False,False,False
12456,2265.4,2,40,164,0,False,False,False,False,False,False,False,False,True,False
12457,1699.93,4,143,344,0,False,False,False,False,False,False,False,False,True,False
12458,1272.01,3,194,397,0,False,False,False,False,False,False,False,False,True,False
12459,454.36,1,514,514,1,False,False,False,False,False,False,True,False,False,False
12460,326.65,1,365,365,1,True,False,False,False,False,False,False,False,False,False
12461,826.88,2,3,64,1,False,False,False,False,False,False,False,False,True,False
12462,762.11,1,212,212,0,False,False,False,False,False,False,True,False,False,False
12463,985.7900000000001,3,84,151,0,True,False,False,False,False,False,False,False,False,False
12464,780.55,6,15,218,0,True,False,False,False,False,False,False,False,False,False
12465,440.94,1,78,78,0,True,False,False,False,False,False,False,False,False,False
12466,56.73,1,591,591,1,False,True,False,False,False,False,False,False,False,False
12467,132.8,1,332,332,1,False,False,False,False,True,False,False,False,False,False
12468,3670.7400000000002,5,97,592,1,False,False,True,False,False,False,False,False,False,False
12469,3070.54,2,432,446,1,False,False,False,False,True,False,False,False,False,False
12470,211.95,1,599,599,1,False,False,False,False,True,False,False,False,False,False
12471,31210.54,68,16,642,0,False,False,True,False,False,False,False,False,False,False
12472,14604.78,17,48,635,0,False,False,True,False,False,False,False,False,False,False
